deg_S,deg_W
"18º 03' 33,50''","69º 13' 58,60''"
"18º 03' 33,50''","69º 13' 58,60''"
"18º 03' 33,50''","69º 13' 58,60''"
"18º 03' 33,50''","69º 13' 58,60''"
"18º 03' 33,50''","69º 13' 58,60''"
"18º 03' 33,50''","69º 13' 58,60''"
"20º 16' 45,10''","68º 53' 16,80''"
"19º 57' 23,60''","68º 41' 59,00''"
"19º 57' 23,60''","68º 41' 59,00''"
"19º 57' 23,60''","68º 41' 59,00''"
"20º 01' 56,80''","68º 49' 16,40''"
"20º 01' 56,80''","68º 49' 16,40''"
"20º 01' 56,80''","68º 49' 16,40''"
"20º 01' 56,80''","68º 49' 16,40''"
"20º 01' 56,80''","68º 49' 16,40''"
"20º 01' 56,80''","68º 49' 16,40''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"19º 27' 18,00''","68º 48' 34,10''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"22º 20' 10,30''","68º 00' 59,30''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 10' 46,40''","70º 17' 30,70''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 50' 01,31''","71º 01' 05,27''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"33º 20' 19,84''","70º 21' 52,22''"
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 01' 58,54''","73º 02' 06,50''"
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 17' 52,72''",73º 15' 05.89''
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
"37º 01' 58,54''","73º 02' 06,50''"
